environment,card_file,proposition_id,source_locator,owner_decision,semantic_role,card_field,authority_class,is_family_valued_context,unresolved,notes
NF/NT,02_CARD_NF_NT.md,OWNER-CORR2-NFNT,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §1,ACCEPT,owner_accepted_semantics,"1|2|3|4|5|6|7|9|10|12|13|14|15",OWNER_DECISION,NO,NO,"Preserves CORR1 meaning; Environment knowledge resource; structural Faith-Knowledge-Power; epistemic authority; separate developmental and operational axes"
NF/NT,02_CARD_NF_NT.md,REF-NFNT-CORE,NF_NT_Environment_Reference.xlsx Overview!C7:C18,ACCEPT,foundation_context,"1|2|3|4|5|6|7|9",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Overview C8 simultaneous wording is overridden by direct Owner authority; conflict is resolved"
NF/NT,02_CARD_NF_NT.md,C-41,"[СТ-7, ¶632]",ACCEPT,source_provenance,"3|13",PRIMARY_SOURCE_STATEMENT,NO,NO,"Owner assigns the theoretical-knowledge statement to the Environment rather than participants"
NT/STJ,03_CARD_NT_STJ.md,OWNER-CORR2-NTSTJ,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §2,ACCEPT,owner_accepted_semantics,"1|2|3|4|7|9|12|13|14|15",OWNER_DECISION,NO,NO,"Preserves demonstrable practical achievement and capability-technology-strategic-asset resource logic"
NT/STJ,03_CARD_NT_STJ.md,REF-NTSTJ-CORE,"NT_STJ_Environment_Reference.xlsx Overview!C7:C17,C21,C36:C40",ACCEPT,foundation_context,"1|2|3|4|5|6|7|8|9",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Measurable language remains bounded by Owner-accepted demonstrability that need not reduce to one metric"
NT/STJ,03_CARD_NT_STJ.md,C-09,"[СТ-6, ¶48]",ACCEPT,source_provenance,"2|4|7|10|12",PRIMARY_SOURCE_STATEMENT,NO,NO,"Objective achievement is governed by the Owner clarification"
NT/STP,04_CARD_NT_STP.md,OWNER-CORR2-NTSTP,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §3,ACCEPT,owner_accepted_semantics,"1|2|3|4|7|8|9|10|12|13|14|15",OWNER_DECISION,NO,NO,"Empirical testing and redistribution toward what works; empirical result is arbiter; greedy means non-moral risk appetite"
NT/STP,04_CARD_NT_STP.md,REF-NTSTP-CORE,"NT_STP_Environment_Reference.xlsx Overview!C6:C23,C36:C40",ACCEPT,foundation_context,"1|2|3|4|5|6|7|8|9|10|11",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Applied-innovation foundation context retained under the Owner-accepted boundaries"
NT/STP,04_CARD_NT_STP.md,C-22:C-25,"[СТ-6, ¶69, ¶71–¶73]",ACCEPT,superseded_provenance_only,"8|12|13|14",PRIMARY_SOURCE_PROVENANCE,NO,NO,"LEGACY / SUPERSEDED NT/STP SEMANTICS — PROVENANCE ONLY; cannot define illustrate classify or support inference"
NF/SFJ,05_CARD_NF_SFJ.md,OWNER-CORR2-NFSFJ,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §4,ACCEPT,owner_accepted_semantics,"1|2|3|4|7|9|11|12|13|14|15",OWNER_DECISION,NO,NO,"Reflective narrowing; elite reality-testing weakness; defining upward resource concentration; defining sacrificial-Other persistence mechanism"
NF/SFJ,05_CARD_NF_SFJ.md,REF-NFSFJ-CORE,"NF_SFJ_Environment_Reference.xlsx Overview!C7:C17,C32:C36",ACCEPT,foundation_context,"1|2|3|4|5|6|8|9",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Foundation context does not independently establish the Owner clarification or create an automatic manipulative/intent criterion"
NF/SFJ,05_CARD_NF_SFJ.md,C-18:C-20,"[СТ-6, ¶63–¶65]",ACCEPT,source_provenance,"1|2|4|5|6|8|9|11|12|13",PRIMARY_SOURCE_STATEMENT,NO,NO,"Direct Owner authority supplies the current structural meaning of degradation and persistence"
NF/SFP,06_CARD_NF_SFP.md,OWNER-CORR2-NFSFP,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §5,ACCEPT,owner_accepted_semantics,"1|2|3|4|5|6|7|9|11|12|13|14|15",OWNER_DECISION,NO,NO,"Normal creative/authentic/aesthetic/human-connection Essence; C-26B partially superseded and reclassified; power excluded from current semantics"
NF/SFP,06_CARD_NF_SFP.md,REF-NFSFP-CORE,"NF_SFP_Environment_Reference.xlsx Overview!C6:C24,C28,C33:C35,C46:C51",ACCEPT,foundation_context,"1|2|3|4|5|6|7|8|9|11",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Foundation context supports the accepted normal meaning and resource-spending constraint"
NF/SFP,06_CARD_NF_SFP.md,C-26B,"[СТ-6, ¶75]",ACCEPT,partially_superseded_reclassified,"11|12|13|14",PRIMARY_SOURCE_PROVENANCE,NO,NO,"Sensory/sexual/destructive components survive only in NF/SFP → NF/SP degradation; power is provenance only"
NF/SFP,06_CARD_NF_SFP.md,C-27,"[СТ-6, ¶76]",ACCEPT,degradation_path_provenance,"8|11|12|13|14",PRIMARY_SOURCE_STATEMENT,NO,NO,"Used only under the Owner-defined Environment-to-actor degradation direction"
STJ/STP,07_CARD_STJ_STP.md,OWNER-CORR2-STJSTP,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §6,ACCEPT,owner_accepted_semantics,"1|2|3|4|7|9|11|12|13|14|15",OWNER_DECISION,NO,NO,"Weak is relational inability to defend a resource claim; unfair is legacy evaluative wording only"
STJ/STP,07_CARD_STJ_STP.md,REF-STJSTP-CORE,"STJ_STP_Environment_Reference.xlsx Overview!C6:C23,C39:C43",ACCEPT,foundation_context,"1|2|3|4|5|6|7|8|9|11",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Foundation supplies P/E and coercive resource context; Owner authority supplies final bounded terms"
STJ/STP,07_CARD_STJ_STP.md,V1.7-UNFAIR,v1.7/03 §2 line 37,ACCEPT,legacy_evaluative_provenance,"3|12|13|14",AUTHOR_CONFIRMED_PROVENANCE,NO,NO,"Unfair is not current structural semantics and does not require a prior-agreement or impersonal-fairness violation"
SFJ/SFP,08_CARD_SFJ_SFP.md,OWNER-CORR2-SFJSFP,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §7,ACCEPT,owner_accepted_semantics,"1|2|3|4|5|7|9|11|12|13|14|15",OWNER_DECISION,NO,NO,"Baseline Everyday/Moral interaction Environment; social continuity belonging trusted relationships and preservation of accumulated resources take precedence over innovation competition or abstract knowledge production; tradition is continuity through durable relations; loyalty is reciprocal preservation; membership ascribed or acquired; deep trust follows demonstrated loyalty"
SFJ/SFP,08_CARD_SFJ_SFP.md,REF-SFJSFP-CORE,"SFJ_SFP_Environment_Reference.xlsx Overview!C6:C22,C37:C41",ACCEPT,foundation_context,"1|2|3|4|5|6|7|8|9|11",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Conservation-through-network context retained under final Owner definitions"
SFJ/SFP,08_CARD_SFJ_SFP.md,C-34:C-36,"[СТ-7, ¶617, ¶620]",ACCEPT,source_provenance,"1|5|6|8|11|13",PRIMARY_SOURCE_STATEMENT,NO,NO,"Owner authority supplies the current meanings of traditional loyalty and in-group boundary"
STP/STJ,09_CARD_STP_STJ.md,OWNER-CORR2-STPSTJ,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §8,ACCEPT,owner_supplied_complete_card,"1|2|3|4|5|6|7|8|9",OWNER_DECISION,NO,NO,"Complete nine-field card replaces the CORR1 shell"
STP/STJ,09_CARD_STP_STJ.md,REF-STPSTJ-CONTEXT,"STP_STJ_Environment_Reference.xlsx Overview!C6:C18,C21:C30,C39:C43",ACCEPT,foundation_context,"1|2|3|5|6|8",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Context only; not represented as source authority for the Owner-supplied card"
STP/STJ,09_CARD_STP_STJ.md,V1.7-FORMULA,v1.7/03 §2 line 39,ACCEPT,provenance_context,"2|7",AUTHOR_CONFIRMED_PROVENANCE,NO,NO,"Legacy unfair wording is expressly rejected as a current normative criterion"
SFP/SFJ,10_CARD_SFP_SFJ.md,OWNER-CORR2-SFPSFJ,FINAL_OWNER_AUTHORITY_RECORD_E9_CORR2.md §9,ACCEPT,owner_supplied_complete_card,"1|2|3|4|5|6|7|8|9",OWNER_DECISION,NO,NO,"Complete nine-field card replaces the CORR1 shell"
SFP/SFJ,10_CARD_SFP_SFJ.md,REF-SFPSFJ-CONTEXT,"SFP_SFJ_Environment_Reference.xlsx Overview!C6:C23,C33:C43",ACCEPT,foundation_context,"1|2|3|4|5|6|7|8|9",FOUNDATION_REFERENCE_CONTEXT,NO,NO,"Context only; not represented as source authority for the Owner-supplied card"
SFP/SFJ,10_CARD_SFP_SFJ.md,V1.7-FORMULA,v1.7/03 §2 line 40,ACCEPT,bounded_subtype_provenance,"2|5|7",AUTHOR_CONFIRMED_PROVENANCE,NO,NO,"Appearance-of-care and underpaid-labour formula is a valid bounded subtype but too narrow for current semantics"
SFP/SFJ,10_CARD_SFP_SFJ.md,C-14:C-17,"[СТ-6, ¶57, ¶60–¶61]",ACCEPT,family_context_provenance,"1|2|3",PRIMARY_SOURCE_PROVENANCE,YES,NO,"Family-valued context does not independently establish the Owner-supplied member semantics"
